SpectrumID,#Scan#,SpectrumFile,LibraryName,MQScore,TIC_Query,RT_Query,MZErrorPPM,SharedPeaks,MassDiff,SpecMZ,SpecCharge,FileScanUniqueID,NumberHits,Compound_Name,Ion_Source,Instrument,Compound_Source,PI,Data_Collector,Adduct,Precursor_MZ,ExactMass,Charge,CAS_Number,Pubmed_ID,Smiles,INCHI,INCHI_AUX,Library_Class,IonMode,Organism,LibMZ,UpdateWorkflowName,LibraryQualityString,tags,molecular_formula,InChIKey,InChIKey-Planar,superclass,class,subclass,npclassifier_superclass,npclassifier_class,npclassifier_pathway,library_usi
CCMSLIB00016219279,977,specs_ms.mgf,GNPS-ION-MOBILITY-LIBRARY.mgf,0.880281,2000,0,3.747,7,0.00195312,521.249,1,temp/specs_ms.mgf977,1,Antimycin A3 [CCS=238.01307678222656],LC-ESI,ToF,Crude,Pieter Dorrestein,victoriadeleray,[M+H]+,521.251,520.243,1,NA,NA,CCCCC1C(=O)OC(C)C(NC(=O)c2c(O)c(NC=O)ccc2)C(=O)OC(C)C1OC(=O)CC(C)C,"InChI=1S/C26H36N2O9/c1-6-7-9-18-23(37-20(30)12-14(2)3)16(5)36-26(34)21(15(4)35-25(18)33)28-24(32)17-10-8-11-19(22(17)31)27-13-29/h8,10-11,13-16,18,21,23,31H,6-7,9,12H2,1-5H3,(H,27,29)(H,28,32)",NA,1,Positive,GNPS-ION-MOBILITY-LIBRARY,521.251,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C26H36N2O9,PVEVXUMVNWSNIG-UHFFFAOYSA-N,PVEVXUMVNWSNIG,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Macrolides,Antimycins,Amino acids and Peptides|Polyketides,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016219279
CCMSLIB00003137215,966,specs_ms.mgf,GNPS-NIST14-MATCHES.mgf,0.858196,2000,0,1.99879,6,0.0010376,519.114,1,temp/specs_ms.mgf966,1,Spectral Match to 6''-O-Malonylgenistin from NIST14,ESI,Q-TOF,Isolated,Data from Christopher A. Lowry,Data deposited by fevargas,M+H,519.113,0,1,51011053,N/A,N/A,N/A,N/A,3,Positive,GNPS-NIST14-MATCHES,519.113,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003137215
CCMSLIB00003139689,644,specs_ms.mgf,GNPS-NIST14-MATCHES.mgf,0.85416,3000,0,0,7,0,454.293,1,temp/specs_ms.mgf644,1,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,ESI,HCD,Isolated,Data from Pieter Dorrestein,Data deposited by lfnothias,M+H,454.293,0,1,53862354,N/A,N/A,N/A,N/A,3,Positive,GNPS-NIST14-MATCHES,454.293,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139689
CCMSLIB00005435823,1405,specs_ms.mgf,GNPS-LIBRARY.mgf,0.83376,13999.2,0,3.20626,9,0.00201416,628.194,1,temp/specs_ms.mgf1405,1,Contaminant vial septum ThermoFisher C5000-44B,LC-ESI,Orbitrap,Commercial,Dorrestein,lfnothias,M+NH4,628.196,0,0,,,,,,3,Positive,GNPS-LIBRARY,628.196,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005435823
CCMSLIB00003135171,294,specs_ms.mgf,GNPS-NIST14-MATCHES.mgf,0.817838,9956.84,0,10.7667,7,0.0039978,371.316,1,temp/specs_ms.mgf294,1,"Spectral Match to Hexanedioic acid, bis(2-ethylhexyl) ester from NIST14",ESI,QqQ,Isolated,Data from Piel,Data deposited by eriche,M+H,371.312,0,1,103231,N/A,N/A,N/A,N/A,3,Positive,GNPS-NIST14-MATCHES,371.312,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135171
CCMSLIB00005435822,1617,specs_ms.mgf,GNPS-LIBRARY.mgf,0.804588,10998.7,0,2.8683,12,0.00201416,702.213,1,temp/specs_ms.mgf1617,1,Contaminant vial septum ThermoFisher C5000-44B,LC-ESI,Orbitrap,Commercial,Contaminant vial septum ThermoFisher C5000-44B,lfnothias,M+NH4,702.215,0,0,,,,,,3,Positive,GNPS-LIBRARY,702.215,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005435822
CCMSLIB00003134797,84,specs_ms.mgf,GNPS-NIST14-MATCHES.mgf,0.799504,2000,0,3.38809,6,0.00100708,297.242,1,temp/specs_ms.mgf84,1,Spectral Match to 12(13)-Epoxy-9Z-octadecenoic acid from NIST14,ESI,HCD,Isolated,Data from Joshua Wollam,Data deposited by fevargas,M+H,297.241,0,1,948310687,N/A,N/A,N/A,N/A,3,Positive,GNPS-NIST14-MATCHES,297.241,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003134797
CCMSLIB00010119104,1233,specs_ms.mgf,BERKELEY-LAB.mgf,0.776069,2000,0,0,7,0,583.255,1,temp/specs_ms.mgf1233,1,biliverdin CollisionEnergy:205060,LC-ESI,Orbitrap,Commercial,Trent Northen,JGI,M+H,583.255,0,1,N/A,N/A,C=CC1=C(C)C(C=c2[nH]c(=Cc3[nH]c(C=C4N=C(O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O,"InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,34-35H,1-2,9-12H2,3-6H3,(H,37,42)(H,38,39)(H,40,41)/b24-13+,27-14-,28-15-",N/A,3,Positive,BERKELEY-LAB,583.255,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C33H34N4O6,N/A,N/A,N/A,N/A,N/A,,,,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010119104
CCMSLIB00005435824,1729,specs_ms.mgf,GNPS-LIBRARY.mgf,0.772955,8999.68,0,2.59478,12,0.00201416,776.232,1,temp/specs_ms.mgf1729,1,Contaminant vial septum ThermoFisher C5000-44B,LC-ESI,Orbitrap,Commercial,Dorrestein,,M+NH4,776.234,0,0,,,,,,3,Positive,GNPS-LIBRARY,776.234,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005435824
CCMSLIB00004721671,1563,specs_ms.mgf,MONA.mgf,0.76739,4000,0,10.2586,10,0.00701904,684.204,1,temp/specs_ms.mgf1563,1,ACARBOSE,N/A,ESI-QFT,isolated,MoNA,MoNA:VF-NPL-QEHF028090,[M+K]+,684.211,0,1,N/A,N/A,CC1OC(OC2C(CO)OC(OC(C(O)CO)C(O)C(O)C=O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,"InChI=1S/C25H43NO18/c1-7-13(26-9-2-8(3-27)14(33)18(37)15(9)34)17(36)20(39)24(41-7)44-23-12(6-30)42-25(21(40)19(23)38)43-22(11(32)5-29)16(35)10(31)4-28/h2,4,7,9-27,29-40H,3,5-6H2,1H3",N/A,3,positive,MONA,684.211,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C25H43NO18,CEMXHAPUFJOOSV-UHFFFAOYSA-N,CEMXHAPUFJOOSV,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Polyols,Amino cyclitols,Carbohydrates,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004721671
