SpectrumID,#Scan#,SpectrumFile,LibraryName,MQScore,TIC_Query,RT_Query,MZErrorPPM,SharedPeaks,MassDiff,SpecMZ,SpecCharge,FileScanUniqueID,NumberHits,Compound_Name,Ion_Source,Instrument,Compound_Source,PI,Data_Collector,Adduct,Precursor_MZ,ExactMass,Charge,CAS_Number,Pubmed_ID,Smiles,INCHI,INCHI_AUX,Library_Class,IonMode,Organism,LibMZ,UpdateWorkflowName,LibraryQualityString,tags,molecular_formula,InChIKey,InChIKey-Planar,superclass,class,subclass,npclassifier_superclass,npclassifier_class,npclassifier_pathway,library_usi
CCMSLIB00000849764,1285,specs_ms.mgf,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE.mgf,0.876841,6000,0,0.988907,15,0.000976562,987.518,1,temp/specs_ms.mgf1285,1,"NCGC00380668-01_C48H78O18_(3beta,5xi,9xi,22beta)-22,24-Dihydroxyolean-12-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)-beta-D-galactopyranosyl-(1->2)-beta-D-glucopyranosiduronic acid",LC-ESI,Maxis II HD Q-TOF Bruker,isolated,Jadhav/Dorrestein,lfnothias,M+FA-H,987.517,942.519,1,n/a,n/a,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2O[C@@H]3[C@@H](O)[C@H](O)[C@H](O[C@H]3O[C@H]4CC[C@@]5(C)C(CC[C@]6(C)C5C\C=C/7[C@@H]8CC(C)(C)C[C@@H](O)[C@]8(C)CC[C@@]67C)[C@@]4(C)CO)C(O)=O)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C48H78O18/c1-21-29(52)31(54)35(58)40(61-21)65-37-32(55)30(53)24(19-49)62-41(37)66-38-34(57)33(56)36(39(59)60)64-42(38)63-28-12-13-45(5)25(46(28,6)20-50)11-14-48(8)26(45)10-9-22-23-17-43(2,3)18-27(51)44(23,4)15-16-47(22,48)7/h9,21,23-38,40-42,49-58H,10-20H2,1-8H3,(H,59,60)/t21-,23-,24+,25?,26?,27+,28-,29-,30-,31+,32-,33-,34-,35+,36-,37+,38+,40-,41-,42+,44+,45-,46+,47+,48+/m0/s1",N/A,1,negative,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE,987.517,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C48H78O18,PTDAHAWQAGSZDD-VJQGOKKYSA-N,PTDAHAWQAGSZDD,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpenoids,Oleanane triterpenoids,Terpenoids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000849764
CCMSLIB00003139324,455,specs_ms.mgf,GNPS-NIST14-MATCHES.mgf,0.862269,4000,0,2.15921,6,0.000976562,452.279,1,temp/specs_ms.mgf455,1,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,ESI,qTof,Isolated,Data from Pieter Dorrestein,Data deposited by daniel,M-H,452.278,453.285,1,53862354,N/A,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O,"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1",N/A,3,Negative,GNPS-NIST14-MATCHES,452.278,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C21H44NO7P,YVYMBNSKXOXSKW-HXUWFJFHSA-N,YVYMBNSKXOXSKW,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,Glycerophospholipids,Glycerophosphoethanolamines,Fatty acids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139324
CCMSLIB00000222001,952,specs_ms.mgf,RESPECT.mgf,0.858173,2000,0,1.712,6,0.0010376,606.075,1,temp/specs_ms.mgf952,1,"ReSpect:PT203690 Uridine-5'-diphospho-N-acetylgalactosamine disodium salt|UDP-GalNAc|UDP-N-acetylgalactosamine|Uridine diphospho-2-acetamido-2-deoxy-D-galactose|[(2R,3R,4R,5R,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxyme",ESI,LC-Q-TOF/MS,Isolated,Putative ReSpect Match,ReSpect,[M+H],606.074,0,1,7277-98-7,N/A,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,"1/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11+,12-,13-,14-,15?,16-/m1/s1/f/h18-19,29,31H",N/A,3,Positive,RESPECT,606.074,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C17H27N3O17P2,LFTYTUAZOPRMMI-UHFFFAOYSA-N,LFTYTUAZOPRMMI,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000222001
CCMSLIB00010121690,776,specs_ms.mgf,BERKELEY-LAB.mgf,0.845316,4000,0,1.89597,8,0.0010376,547.267,1,temp/specs_ms.mgf776,1,Antipiricullin CollisionEnergy:205060,LC-ESI,Orbitrap,Commercial,Trent Northen,JGI,M-H,547.266,0,1,N/A,N/A,CCCCCCC1C(=O)OC(C)C(N=C(O)c2cccc(N=CO)c2O)C(=O)OC(C)C1OC(=O)CC(C)C,"InChI=1S/C28H40N2O9/c1-6-7-8-9-11-20-25(39-22(32)14-16(2)3)18(5)38-28(36)23(17(4)37-27(20)35)30-26(34)19-12-10-13-21(24(19)33)29-15-31/h10,12-13,15-18,20,23,25,33H,6-9,11,14H2,1-5H3,(H,29,31)(H,30,34)/t17-,18+,20-,23+,25+/m1/s1",N/A,3,Negative,BERKELEY-LAB,547.266,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C28H40N2O9,UIFFUZWRFRDZJC-UHFFFAOYSA-N,UIFFUZWRFRDZJC,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Macrolides,,Polyketides,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010121690
CCMSLIB00012344081,485,specs_ms.mgf,MSNLIB-NEGATIVE.mgf,0.825939,2000,0,2.11786,6,0.000976562,461.11,1,temp/specs_ms.mgf485,1,Daidzin,ESI,Orbitrap,Crude,Tomas Pluskal,Corinna Brungs,[M+FA]-,461.109,416.111,1,N/A,N/A,O=c1c(-c2ccc(O)cc2)coc2c1ccc(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c2,"InChI=1S/C21H20O9/c22-8-16-18(25)19(26)20(27)21(30-16)29-12-5-6-13-15(7-12)28-9-14(17(13)24)10-1-3-11(23)4-2-10/h1-7,9,16,18-23,25-27H,8H2/t16-,18-,19+,20-,21-/m1/s1",KYQZWONCHDNPDP-QNDFHXLGSA-N,1,Negative,MSNLIB-NEGATIVE,461.109,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C21H20O9,KYQZWONCHDNPDP-QNDFHXLGSA-N,KYQZWONCHDNPDP,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,Isoflavonoids,Isoflavones,Shikimates and Phenylpropanoids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012344081
CCMSLIB00012294774,541,specs_ms.mgf,MSNLIB-NEGATIVE.mgf,0.795318,2000,0,2.11082,7,0.00100708,477.105,1,temp/specs_ms.mgf541,1,Genistin,ESI,Orbitrap,Crude,Tomas Pluskal,Corinna Brungs,[M+FA]-,477.104,432.106,1,N/A,N/A,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,"InChI=1S/C21H20O10/c22-7-15-18(26)19(27)20(28)21(31-15)30-11-5-13(24)16-14(6-11)29-8-12(17(16)25)9-1-3-10(23)4-2-9/h1-6,8,15,18-24,26-28H,7H2/t15-,18-,19+,20-,21-/m1/s1",ZCOLJUOHXJRHDI-CMWLGVBASA-N,1,Negative,MSNLIB-NEGATIVE,477.104,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C21H20O10,ZCOLJUOHXJRHDI-CMWLGVBASA-N,ZCOLJUOHXJRHDI,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,Isoflavonoids,Isoflavones,Shikimates and Phenylpropanoids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012294774
CCMSLIB00012336146,180,specs_ms.mgf,MSNLIB-NEGATIVE.mgf,0.791804,4000,0,0,8,0,377.086,1,temp/specs_ms.mgf180,1,"Melibiose, pure",ESI,Orbitrap,Crude,Tomas Pluskal,Corinna Brungs,[M+Cl]-,377.086,342.116,1,N/A,N/A,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C12H22O11/c13-1-4(15)7(17)8(18)5(16)3-22-12-11(21)10(20)9(19)6(2-14)23-12/h1,4-12,14-21H,2-3H2/t4-,5+,6+,7+,8+,9-,10-,11+,12-/m0/s1",AYRXSINWFIIFAE-GFRRCQKTSA-N,1,Negative,MSNLIB-NEGATIVE,377.086,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C12H22O11,AYRXSINWFIIFAE-GFRRCQKTSA-N,AYRXSINWFIIFAE,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Saccharides,Disaccharides,Carbohydrates,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012336146
CCMSLIB00012408360,509,specs_ms.mgf,MSNLIB-NEGATIVE.mgf,0.783616,6000,0,4.24569,7,0.00198364,467.215,1,temp/specs_ms.mgf509,1,1-Octen-3-yl primeveroside,ESI,Orbitrap,Isolated,Tomas Pluskal,Corinna Brungs,[M+FA]-,467.213,422.215,1,N/A,N/A,C=CC(CCCCC)OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,"InChI=1S/C19H34O10/c1-3-5-6-7-10(4-2)28-19-17(25)15(23)14(22)12(29-19)9-27-18-16(24)13(21)11(20)8-26-18/h4,10-25H,2-3,5-9H2,1H3",VXNMHZVTDWLWRX-UHFFFAOYSA-N,1,Negative,MSNLIB-NEGATIVE,467.213,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C19H34O10,VXNMHZVTDWLWRX-UHFFFAOYSA-N,VXNMHZVTDWLWRX,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Fatty acids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012408360
CCMSLIB00005467938,1290,specs_ms.mgf,GNPS-LIBRARY.mgf,0.778189,9994.55,0,3.95341,6,0.00396729,1003.51,1,temp/specs_ms.mgf1290,1,Asiaticoside,LC-ESI,qTof,Isolated,Claudia Maier,Armando Alcazar,M+TFA-H,1003.51,0,1,,,,,,3,Negative,GNPS-LIBRARY,1003.51,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005467938
CCMSLIB00006124011,783,specs_ms.mgf,BIRMINGHAM-UHPLC-MS-NEG.mgf,0.775806,2000,0,0,7,0,549.168,1,temp/specs_ms.mgf783,1,Maltotriose - 40.0 eV,ESI,Orbitrap,Isolated,PI,Data Collector,Unknown,549.168,0,1,,N/A,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,"InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2/t4-,5-,6-,7-,8+,9-,10-,11-,12-,13-,14-,15-,16?,17-,18-/m1/s1",N/A,1,Negative,BIRMINGHAM-UHPLC-MS-NEG,549.168,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C18H32O16,FYGDTMLNYKFZSV-DZOUCCHMSA-N,FYGDTMLNYKFZSV,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Saccharides,Disaccharides|Polysaccharides,Carbohydrates,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006124011
