Media control,MeOH control,SC delta rosA,SB,SC,SD,charge,component,library_compound_name,library_InChI,library_SMILES,mz,name,rt,rt_min,selected,shared name,SpectrumID,#Scan#,SpectrumFile,LibraryName,MQScore,TIC_Query,RT_Query,MZErrorPPM,SharedPeaks,MassDiff,SpecMZ,SpecCharge,FileScanUniqueID,NumberHits,Compound_Name,Ion_Source,Instrument,Compound_Source,PI,Data_Collector,Adduct,Precursor_MZ,ExactMass,Charge,CAS_Number,Pubmed_ID,Smiles,INCHI,INCHI_AUX,Library_Class,IonMode,Organism,LibMZ,UpdateWorkflowName,LibraryQualityString,tags,molecular_formula,InChIKey,InChIKey-Planar,superclass,class,subclass,npclassifier_superclass,npclassifier_class,npclassifier_pathway,library_usi
4121.7236,2109.1108,25154.064,22825.295,26161.814,49491.31,0,-1,pimelic acid,"InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)",O=C(O)CCCCCC(=O)O,159.0665,4005,4.39,4.39,FALSE,4005,CCMSLIB00012351455,4005,spectra_filtered.mgf,MSNLIB-NEGATIVE.mgf,0.994461,238087,0,2.97375,7,0.000473022,159.066,-1,temp/spectra_filtered.mgf4005,1,pimelic acid,ESI,Orbitrap,Crude,Tomas Pluskal,Corinna Brungs,[M-H]-,159.066,160.074,1,N/A,N/A,O=C(O)CCCCCC(=O)O,"InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)",WLJVNTCWHIRURA-UHFFFAOYSA-N,1,Negative,MSNLIB-NEGATIVE,159.066,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C7H12O4,WLJVNTCWHIRURA-UHFFFAOYSA-N,WLJVNTCWHIRURA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acids and Conjugates,Dicarboxylic acids,Fatty acids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012351455
188181.72,65162.9,227135.3,178235.48,231520.25,645562,0,-1,AZELAIC ACID,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",O=C(O)CCCCCCCC(=O)O,187.0979,5750,5.86,5.86,FALSE,5750,CCMSLIB00004702807,5750,spectra_filtered.mgf,MONA.mgf,0.992021,1201690,0,0.815551,7,0.000152588,187.098,-1,temp/spectra_filtered.mgf5750,1,AZELAIC ACID,N/A,ESI-QFT,isolated,MoNA,MoNA:VF-NPL-QEHF011744,[M-H]-,187.098,0,1,N/A,N/A,O=C(O)CCCCCCCC(=O)O,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",N/A,3,negative,MONA,187.098,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C9H16O4,BDJRBEYXGGNYIS-UHFFFAOYSA-N,BDJRBEYXGGNYIS,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acids and Conjugates,Dicarboxylic acids,Fatty acids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004702807
22700000,1379.3864,604258.4,919256.25,693199.3,465799.66,0,43,Citric acid,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",O=C(O)CC(O)(CC(=O)O)C(=O)O,191.0198,1225,1.11,1.11,FALSE,1225,CCMSLIB00004691542,1225,spectra_filtered.mgf,MONA.mgf,0.985813,27135500,0,0.798806,7,0.000152588,191.02,-1,temp/spectra_filtered.mgf1225,1,Citric acid,N/A,ESI-QFT,isolated,MoNA,MoNA:VF-NPL-QEHF000479,[M-H]-,191.02,0,1,N/A,N/A,O=C(O)CC(O)(CC(=O)O)C(=O)O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",N/A,3,negative,MONA,191.02,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C6H8O7,KRKNYBCHXYNGOX-UHFFFAOYSA-N,KRKNYBCHXYNGOX,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Fatty Acids and Conjugates,Hydroxy fatty acids,Fatty acids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004691542
24800000,1182.9436,1105462,1492184,1262487.6,811823.75,0,43,Citric acid,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",O=C(O)CC(O)(CC(=O)O)C(=O)O,191.0198,1625,1.34,1.34,FALSE,1625,CCMSLIB00004691542,1625,spectra_filtered.mgf,MONA.mgf,0.982183,32040700,0,0.958567,7,0.000183105,191.02,-1,temp/spectra_filtered.mgf1625,1,Citric acid,N/A,ESI-QFT,isolated,MoNA,MoNA:VF-NPL-QEHF000479,[M-H]-,191.02,0,1,N/A,N/A,O=C(O)CC(O)(CC(=O)O)C(=O)O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",N/A,3,negative,MONA,191.02,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C6H8O7,KRKNYBCHXYNGOX-UHFFFAOYSA-N,KRKNYBCHXYNGOX,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Fatty Acids and Conjugates,Hydroxy fatty acids,Fatty acids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004691542
0,0,0,0,0,12393.515,0,3,Sorbitol - 40.0 eV,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1",C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,181.0666,1831,1.41,1.41,FALSE,1831,CCMSLIB00006112637,1831,spectra_filtered.mgf,BIRMINGHAM-UHPLC-MS-NEG.mgf,0.980764,2725550,0,29.747,7,0.00538635,181.067,-1,temp/spectra_filtered.mgf1831,1,Sorbitol - 40.0 eV,ESI,Orbitrap,Isolated,PI,Data Collector,M-H,181.072,0,1,,N/A,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1",N/A,1,Negative,BIRMINGHAM-UHPLC-MS-NEG,181.072,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C6H14O6,FBPFZTCFMRRESA-JGWLITMVSA-N,FBPFZTCFMRRESA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Saccharides,Monosaccharides,Carbohydrates,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006112637
0,0,127.527695,1188702.1,29624.797,274625.6,0,507,Phenyl-Ac-Gln-OH - 40.0 eV,nan,nan,263.1042,4061,4.43,4.43,FALSE,4061,CCMSLIB00006125282,4061,spectra_filtered.mgf,BIRMINGHAM-UHPLC-MS-NEG.mgf,0.975131,1033170,0,0.695943,7,0.000183105,263.104,-1,temp/spectra_filtered.mgf4061,1,Phenyl-Ac-Gln-OH - 40.0 eV,ESI,Orbitrap,Isolated,PI,Data Collector,Unknown,263.104,0,1,,N/A,,N/A,N/A,1,Negative,BIRMINGHAM-UHPLC-MS-NEG,263.104,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006125282
466671.34,1455.8484,27808.94,2101.1155,129335.36,838734.8,0,44,D-Mannitol,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,227.0773,706,0.99,0.99,FALSE,706,CCMSLIB00005719626,706,spectra_filtered.mgf,LDB_NEGATIVE.mgf,0.973593,35991100,0,1.47832,8,0.000335693,227.077,-1,temp/spectra_filtered.mgf706,1,D-Mannitol,LC-ESI,Orbitrap,Isolated,Jean-Luc WOLFENDER Pierre-Marie ALLARD,Damien OLIVIER,[M-H+HCOOH],227.077,182.079,1,N/A,N/A,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",N/A,3,Negative,LDB_NEGATIVE,227.077,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C6H14O6,FBPFZTCFMRRESA-KVTDHHQDSA-N,FBPFZTCFMRRESA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Saccharides,Monosaccharides,Carbohydrates,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005719626
1213100.6,0,6234.75,242454.4,8185.8735,43585.152,0,-1,"3,4-dihydroxyphenylacetic acid - 40.0 eV","InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",c1cc(c(cc1CC(=O)O)O)O,203.0828,2921,3.59,3.59,FALSE,2921,CCMSLIB00006113971,2921,spectra_filtered.mgf,BIRMINGHAM-UHPLC-MS-NEG.mgf,0.973335,629937,0,4.05735,7,0.000823975,203.083,-1,temp/spectra_filtered.mgf2921,1,"3,4-dihydroxyphenylacetic acid - 40.0 eV",ESI,Orbitrap,Isolated,PI,Data Collector,M+Cl,203.082,0,1,,N/A,c1cc(c(cc1CC(=O)O)O)O,"InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",N/A,1,Negative,BIRMINGHAM-UHPLC-MS-NEG,203.082,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C8H8O4,CFFZDZCDUFSOFZ-UHFFFAOYSA-N,CFFZDZCDUFSOFZ,Benzenoids,Phenols,Benzenediols,Phenolic acids (C6-C1),Simple phenolic acids,Shikimates and Phenylpropanoids,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006113971
431.12592,0,48697.89,23537.338,10503.4795,97343.04,0,44,D-Mannitol,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,227.0676,1989,1.5,1.5,FALSE,1989,CCMSLIB00005719626,1989,spectra_filtered.mgf,LDB_NEGATIVE.mgf,0.97138,2410040,0,41.5275,8,0.00942993,227.068,-1,temp/spectra_filtered.mgf1989,1,D-Mannitol,LC-ESI,Orbitrap,Isolated,Jean-Luc WOLFENDER Pierre-Marie ALLARD,Damien OLIVIER,[M-H+HCOOH],227.077,182.079,1,N/A,N/A,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",N/A,3,Negative,LDB_NEGATIVE,227.077,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,,C6H14O6,FBPFZTCFMRRESA-KVTDHHQDSA-N,FBPFZTCFMRRESA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Saccharides,Monosaccharides,Carbohydrates,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005719626
0,0,0,250665.88,4833.847,8682.632,0,235,CHEBI:181495,"InChI=1S/C14H19N3O4/c15-14(21)16-8-4-7-11(13(19)20)17-12(18)9-10-5-2-1-3-6-10/h1-3,5-6,11H,4,7-9H2,(H,17,18)(H,19,20)(H3,15,16,21)",NC(=O)NCCCC(NC(=O)Cc1ccccc1)C(=O)O,292.1309,4396,4.63,4.63,FALSE,4396,CCMSLIB00012433871,4396,spectra_filtered.mgf,MSNLIB-NEGATIVE.mgf,0.970706,1176500,0,3.13397,7,0.000915527,292.131,-1,temp/spectra_filtered.mgf4396,1,CHEBI:181495,ESI,Orbitrap,Isolated,Tomas Pluskal,Corinna Brungs,[M-H]-,292.13,293.138,1,N/A,N/A,NC(=O)NCCCC(NC(=O)Cc1ccccc1)C(=O)O,"InChI=1S/C14H19N3O4/c15-14(21)16-8-4-7-11(13(19)20)17-12(18)9-10-5-2-1-3-6-10/h1-3,5-6,11H,4,7-9H2,(H,17,18)(H,19,20)(H3,15,16,21)",FTYZUGZNDHQHFV-UHFFFAOYSA-N,1,Negative,MSNLIB-NEGATIVE,292.13,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,,C14H19N3O4,FTYZUGZNDHQHFV-UHFFFAOYSA-N,FTYZUGZNDHQHFV,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Small peptides,Dipeptides,Amino acids and Peptides,mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012433871
