structurePerIdRank;formulaRank;ConfidenceScoreExact;ConfidenceScoreApproximate;CSI:FingerIDScore;ZodiacScore;SiriusScoreNormalized;SiriusScore;molecularFormula;adduct;precursorFormula;InChIkey2D;InChI;name;smiles;xlogp;pubchemids;links;dbflags;ionMass;retentionTimeInSeconds;retentionTimeInMinutes;formulaId;alignedFeatureId;compoundId;mappingFeatureId;overallFeatureQuality
1;1;69;69;-279,539;;1,000;37,722;C19H37N3O12;[M - H]-;C19H36N3O12-;FWIWBUVDMSCWQW;InChI=1S/C19H37N3O12/c1-4(20)14-11(28)13(30)19(31-14)34-17-8(25)5(21)2-6(22)15(17)32-18-12(29)9(26)10(27)16(33-18)7(24)3-23/h4-19,23-30H,2-3,20-22H2,1H3;(2S,3R,4S,5S,6R)-2-[(1R,2R,3S,4R,6S)-4,6-diamino-2-[(2S,3R,4S,5R)-5-[(1S)-1-aminoethyl]-3,4-dihydroxyoxolan-2-yl]oxy-3-hydroxycyclohexyl]oxy-6-[(1R)-1,2-dihydroxyethyl]oxane-3,4,5-triol;CC(C1C(C(C(O1)OC2C(C(CC(C2OC3C(C(C(C(O3)C(CO)O)O)O)O)N)N)O)O)O)N;-6,300;164623928;"PUBCHEM:(164623928);PUBMED";66;498,231;47;778;787928440712750049;787927995424443085;787927995416054476;1;
1;1;910;910;-307,421;;726;20,569;C25H48N4O15;[M - H]-;C25H47N4O15-;GMUOMNUAIUURIO;InChI=1S/C25H48N4O15/c26-10-3-11(27)22(44-24-15(28)19(36)17(34)12(7-31)41-24)23(16(10)33)43-14-5-29(4-9(6-30)40-14)1-2-39-25-21(38)20(37)18(35)13(8-32)42-25/h9-25,30-38H,1-8,26-28H2;(1S)-2beta-[4-[2-(beta-D-Glucopyranosyloxy)ethyl]-6-(hydroxymethyl)morpholine-2-yloxy]-3alpha-(2-amino-2-deoxy-alpha-D-glucopyranosyloxy)-4beta,6beta-diaminocyclohexane-1alpha-ol;C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3CN(CC(O3)CO)CCOC4C(C(C(C(O4)CO)O)O)O)O)N;-7,600;101100634;PUBCHEM:(101100634);2;643,306;47;791;787928425969769392;787927995550272210;787927995546077905;2;
1;2;29;29;-89,664;;132;33,119;C7H6N2O6S2;[M - H]-;C7H5N2O6S2-;BAFIDZLDIPNTDF;InChI=1S/C7H6N2O6S2/c10-5-8-16(12,13)6-3-1-2-4-7(6)17(14,15)9-11/h1-4,9,11H;1-N-hydroxy-2-N-(oxomethylidene)benzene-1,2-disulfonamide;C1=CC=C(C(=C1)S(=O)(=O)NO)S(=O)(=O)N=C=O;800;88661212;PUBCHEM:(88661212);2;276,961;51;842;787928438393299575;787927996737260297;787927996737260296;136;
1;1;-Infinity;-Infinity;-234,250;;1,000;44,899;C10H5IN4O5S;[M - H]-;C10H4IN4O5S-;UPDRHCWVSWQFJQ;InChI=1S/C10H5IN4O5S/c11-7-2-1-5(14(17)18)3-6(7)9(16)13-10-12-4-8(21-10)15(19)20/h1-4H,(H,12,13,16);2-iodo-5-nitro-N-(5-nitro-1,3-thiazol-2-yl)benzamide;C1=CC(=C(C=C1[N+](=O)[O-])C(=O)NC2=NC=C(S2)[N+](=O)[O-])I;2,800;15547616;PUBCHEM:(15547616);2;418,895;51;848;787928442193339510;787927997202828066;787927997198633761;122;
1;4;-Infinity;-Infinity;-55,095;;20;11,797;CN4O3S;[M - H]-;C-HN4O3S-;JKXBXOOTFPCSHT;InChI=1S/CN4O3S/c2-1-9(6,7)8-5-4-3;Azido azanylidynemethanesulfonate;C(#N)S(=O)(=O)ON=[N+]=[N-];1,200;148242421;PUBCHEM:(148242421);2;146,961;51;854;787928442235282564;787927997920054090;787927997915859785;138;
1;1;86;86;-38,616;;500;23,294;CH6O6P2;[M - H]-;CH5O6P2-;YQSZCHOOLPONKC;InChI=1S/CH6O6P2/c1-7-9(5,6)8(2,3)4/h1H3,(H,5,6)(H2,2,3,4);[Hydroxy(methoxy)phosphoryl]phosphonic acid;COP(=O)(O)P(=O)(O)O;-2,700;54522408;PUBCHEM:(54522408);2;174,956;52;862;787928433897004991;787927998192683865;787927998188489560;146;
1;1;568;939;-56,413;;500;35,819;C9H19N3O3;[M - H]-;C9H18N3O3-;QXRNAOYBCYVZCD;InChI=1S/C9H19N3O3/c1-6(11)8(13)12-7(9(14)15)4-2-3-5-10/h6-7H,2-5,10-11H2,1H3,(H,12,13)(H,14,15);Ala-Lys;CC(C(=O)NC(CCCCN)C(=O)O)N;-3,500;"4130575;4432224;16122508;7016105;7016106;102295434;20111853;20111874;44398615";"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0365421);HMDB:(HMDB0028692);CHEBI:(173625 132403 192470);SUPERNATURAL:(SN0317985);FooDB:(FDB111751);PUBCHEM:(4130575 4432224 16122508 7016105 7016106 102295434 20111853 20111874 44398615);DSSTox:(DTXSID101315641 DTXSID30426799 DTXSID30585052);LOTUS:(Q82239611);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)";1.38298E+11;216,135;52;871;787928462179199312;787927998444342120;787927998440147815;150;
1;2;5;5;-182,286;;0;98,469;C7H12N6O5;[M - H]-;C7H11N6O5-;ZQCINZBUUIXIQY;InChI=1S/C7H12N6O5/c8-4(16)11-6(12-5(9)17)13(2-14)3(15)1-10-7(13)18/h6,14H,1-2H2,(H6-,8,9,10,11,12,16,17,18)/p+1;[(Carbamoylamino)-[1-(hydroxymethyl)-2,5-dioxoimidazolidin-1-ium-1-yl]methyl]urea;C1C(=O)[N+](C(=O)N1)(CO)C(NC(=O)N)NC(=O)N;-2,300;87714389;PUBCHEM:(87714389);2;259,079;52;872;787928494328540231;787927998524033901;787927998519839596;153;
1;2;-Infinity;-Infinity;-162,108;;253;32,754;C8H6N6O8S3;[M - H]-;C8H5N6O8S3-;BHTKPRRBITUJME;InChI=1S/C8H6N6O8S3/c9-24(19,20)8-11-10-7(23-8)12-25(21,22)6-2-1-4(13(15)16)3-5(6)14(17)18/h1-3H,(H,10,12)(H2,9,19,20);5-[[(2,4-Dinitrophenyl)sulfonyl]amino]-1,3,4-thiadiazole-2-sulfonamide;C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N;-200;10811510;PUBCHEM:(10811510);2;408,934;53;881;787928505414086659;787927998838606721;787927998834412416;170;
1;3;9;17;-79,981;;11;21,964;C8H4O6S;[M - H]-;C8H3O6S-;VJDQIBUPTBGINF;InChI=1S/C8H4O6S/c9-7-5-2-1-4(15(11,12)13)3-6(5)8(10)14-7/h1-3H,(H,11,12,13);4-Sulfophthalic anhydride;C1=CC2=C(C=C1S(=O)(=O)O)C(=O)OC2=O;0;67251;"NORMAN:(NS00024323);PUBCHEM:(67251);DSSTox:(DTXSID4072075 DTXSID8059637)";1.37439E+11;226,966;54;894;787928515383948114;787927999107042192;787927999107042191;189;
