SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00000221690	5186	spectra_filtered.mgf	MASSBANK.mgf	0.993076	288559000.0	0	5.42046	7	0.000900269	166.086	1	temp/spectra_filtered.mgf5186	1	Massbank:PB000408 Phenylalanine|2-amino-3-phenylpropanoic acid	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	166.087	0.0	1	N/A	N/A	C1=CC=C(C=C1)CC(C(=O)O)N	1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	3	Positive	MASSBANK	166.087	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO2	COLNVLDHVKWLRT-UHFFFAOYSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000221690
CCMSLIB00006122447	12579	spectra_filtered.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.989873	5675560.0	0	0.690656	8	0.000183105	265.118	1	temp/spectra_filtered.mgf12579	1	Phenyl-Ac-Gln-OH - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	Unknown	265.118	0.0	1		N/A		N/A	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	265.118	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006122447
CCMSLIB00000221690	8274	spectra_filtered.mgf	MASSBANK.mgf	0.988878	1901380.0	0	4.59361	7	0.000762939	166.086	1	temp/spectra_filtered.mgf8274	1	Massbank:PB000408 Phenylalanine|2-amino-3-phenylpropanoic acid	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	166.087	0.0	1	N/A	N/A	C1=CC=C(C=C1)CC(C(=O)O)N	1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	3	Positive	MASSBANK	166.087	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO2	COLNVLDHVKWLRT-UHFFFAOYSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000221690
CCMSLIB00006115133	17511	spectra_filtered.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.982191	2315970.0	0	0.0617495	9	1.52588e-05	247.108	1	temp/spectra_filtered.mgf17511	1	DL-N-Acetyltryptophan - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	247.108	0.0	1		N/A	CC(=O)NC(Cc1c[nH]c2c1cccc2)C(=O)O	InChI=1S/C13H14N2O3/c1-8(16)15-12(13(17)18)6-9-7-14-11-5-3-2-4-10(9)11/h2-5,7,12,14H,6H2,1H3,(H,15,16)(H,17,18)	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	247.108	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C13H14N2O3	DZTHIGRZJZPRDV-UHFFFAOYSA-N	DZTHIGRZJZPRDV	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006115133
CCMSLIB00006119340	16942	spectra_filtered.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.975864	2115970.0	0	0.219976	7	4.57764e-05	208.097	1	temp/spectra_filtered.mgf16942	1	N-Acetyl-L-phenylalanine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	208.097	0.0	1		N/A	CC(=O)N[C@@H](Cc1ccccc1)C(=O)O	InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)/t10-/m0/s1	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	208.097	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H13NO3	CBQJSKKFNMDLON-JTQLQIEISA-N	CBQJSKKFNMDLON	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006119340
CCMSLIB00013939749	22127	spectra_filtered.mgf	WFSR-LIBRARY.mgf	0.973988	506588.0	0	0.794158	8	0.000152588	192.138	1	temp/spectra_filtered.mgf22127	1	"""Diethyltoluamide; N,N-Diethyl-3-methylbenzamide; DEET_CE45"""	ESI	Orbitrap	Commercial	Federico Padilla-Gonzalez	"""Sjors Rasker, Wout Bergkamp"""	M+H	192.138	191.131	1	134-62-3	N/A	CCN(CC)C(=O)C1=CC=CC(C)=C1	"""InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3"""	N/A	1	Positive	WFSR-LIBRARY	192.138	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C12H17NO	MMOXZBCLCQITDF-UHFFFAOYSA-N	MMOXZBCLCQITDF	Benzenoids	Benzene and substituted derivatives	Toluenes			Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013939749
CCMSLIB00003139223	3058	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.968645	11618400.0	0	5.69852	6	0.0010376	182.081	1	temp/spectra_filtered.mgf3058	1	Spectral Match to L-Tyrosine from NIST14	ESI	qTof	Isolated	Data from James McKerrow	Data deposited by lamccall	M+H	182.082	181.074	1	60184	N/A	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	182.082	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139223
CCMSLIB00006117325	3329	spectra_filtered.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.968348	2041970.0	0	0.859351	6	0.000244141	284.099	1	temp/spectra_filtered.mgf3329	1	Guanosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	284.099	0.0	1		N/A	c1nc2c(=O)[nH]c(nc2n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N	InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	284.099	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C10H13N5O5	NYHBQMYGNKIUIF-UUOKFMHZSA-N	NYHBQMYGNKIUIF	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006117325
CCMSLIB00006119949	9120	spectra_filtered.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.967026	712547.0	0	0.680916	8	0.000152588	224.092	1	temp/spectra_filtered.mgf9120	1	N-Aceyl-L-tyrosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	224.092	0.0	1		N/A	CC(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)O	InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	224.092	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H13NO4	CAHKINHBCWCHCF-JTQLQIEISA-N	CAHKINHBCWCHCF	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006119949
CCMSLIB00006114910	20648	spectra_filtered.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.965725	820397.0	0	0.450344	13	0.00012207	271.06	1	temp/spectra_filtered.mgf20648	1	Genistein - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	271.06	0.0	1		N/A	c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O	InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	271.06	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C15H10O5	TZBJGXHYKVUXJN-UHFFFAOYSA-N	TZBJGXHYKVUXJN	Phenylpropanoids and polyketides	Isoflavonoids	Isoflav-2-enes	Isoflavonoids	Isoflavones	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006114910
