structurePerIdRank,formulaRank,ConfidenceScoreExact,ConfidenceScoreApproximate,CSI:FingerIDScore,ZodiacScore,SiriusScoreNormalized,SiriusScore,molecularFormula,adduct,precursorFormula,InChIkey2D,InChI,name,smiles,xlogp,pubchemids,links,dbflags,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,3,0.549,0.549,-50.750,,0.333,180.368,C6H15NO5,[M - H4O2 + H]+,C6H12NO3+,SDOFMBGMRVAJNF,"InChI=1S/C6H15NO5/c7-1-3(9)5(11)6(12)4(10)2-8/h3-6,8-12H,1-2,7H2","(2R,3S,4R,5R)-6-Aminohexane-1,2,3,4,5-pentaol",C(C(C(C(C(CO)O)O)O)O)N,-3.259,58974388;87319070;51436374;129728480;22863346;22863347;7018859;7321550;7321551;7321552;7321553;7321554;7321555;124134696;102251924;74531818;140625534;71773483;54300056;121388378;131977324;10749902;10266;452501;91079975;27443253;27443254;27443258;12310007;12310008,PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00005547 NS00092195 NS00100246);HMDB:(HMDB0246693);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(452501 10266);MESH:(452501);PUBCHEM:(58974388 87319070 51436374 129728480 22863346 22863347 7018859 7321550 7321551 7321552 7321553 7321554 7321555 124134696 102251924 74531818 140625534 71773483 54300056 121388378 131977324 10749902 10266 452501 91079975 27443253 27443254 27443258 12310007 12310008);DSSTox:(DTXSID50487226 DTXSID901032334);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null),137560850510,146.081,46,0.761,787483575091553706,787482672611514172,787482672603125563,9,
1,2,0.271,0.271,-41.027,,0.500,165.887,C6H15NO5,[M - H2O + H]+,C6H14NO4+,SDOFMBGMRVAJNF,"InChI=1S/C6H15NO5/c7-1-3(9)5(11)6(12)4(10)2-8/h3-6,8-12H,1-2,7H2","(2R,3S,4R,5R)-6-Aminohexane-1,2,3,4,5-pentaol",C(C(C(C(C(CO)O)O)O)O)N,-3.259,58974388;87319070;51436374;129728480;22863346;22863347;7018859;7321550;7321551;7321552;7321553;7321554;7321555;124134696;102251924;74531818;140625534;71773483;54300056;121388378;131977324;10749902;10266;452501;91079975;27443253;27443254;27443258;12310007;12310008,PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00005547 NS00092195 NS00100246);HMDB:(HMDB0246693);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(452501 10266);MESH:(452501);PUBCHEM:(58974388 87319070 51436374 129728480 22863346 22863347 7018859 7321550 7321551 7321552 7321553 7321554 7321555 124134696 102251924 74531818 140625534 71773483 54300056 121388378 131977324 10749902 10266 452501 91079975 27443253 27443254 27443258 12310007 12310008);DSSTox:(DTXSID50487226 DTXSID901032334);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null),137560850510,164.092,47,0.782,787483569198556165,787482673144190798,787482673144190797,10,
1,1,0.042,0.042,-273.594,,0.333,137.061,C19H29N7O5,[M + H]+,C19H30N7O5+,UTJYVDFQGXKQQD,"InChI=1S/C19H29N7O5/c20-13(19(29)30)3-8-25(7-1-4-23-15-2-5-21-11-24-15)10-14-16(27)17(28)18(31-14)26-9-6-22-12-26/h2,5-6,9,11-14,16-18,27-28H,1,3-4,7-8,10,20H2,(H,29,30)(H,21,23,24)","(2S)-2-amino-4-[[(2S,3S,4R,5R)-3,4-dihydroxy-5-imidazol-1-yloxolan-2-yl]methyl-[3-(pyrimidin-4-ylamino)propyl]amino]butanoic acid",C1=CN=CN=C1NCCCN(CCC(C(=O)O)N)CC2C(C(C(O2)N3C=CN=C3)O)O,-4.000,137552761,PUBCHEMANNOTATIONBIO;PUBCHEM:(137552761),16777218,436.229,47,0.782,787483577629107868,787482673324545876,787482673320351571,23,
1,2,0.722,0.722,-85.015,,0.350,107.882,C21H41N3O13,[M - H2O + H]+,C21H40N3O12+,RPRQXRNYVOLMRI,"InChI=1S/C21H41N3O13/c1-22-10-15(30)17(8(5-26)33-19(10)32)36-21-12(24-3)16(31)18(9(6-27)35-21)37-20-11(23-2)14(29)13(28)7(4-25)34-20/h7-32H,4-6H2,1-3H3","6-[6-[4,6-Dihydroxy-2-(hydroxymethyl)-5-(methylamino)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)-5-(methylamino)oxan-3-yl]oxy-2-(hydroxymethyl)-5-(methylamino)oxane-3,4-diol",CNC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)NC)O)NC)O,-6.100,122519714;122490395,PUBCHEM:(122519714 122490395),2,526.260,47,0.782,787483574638568811,787482673496512346,787482673492318041,27,
1,1,0.301,0.301,-114.315,,0.500,180.335,C12H24N2O7,[M + H]+,C12H25N2O7+,HHANGXXCJXHNKY,"InChI=1S/C12H24N2O7/c13-3-6-9(17)10(18)11(19)12(21-6)20-5-2-1-4(14)7(15)8(5)16/h4-12,15-19H,1-3,13-14H2","(2S,3R,4S,5S,6R)-2-[(1S,2S,3R,4S)-4-amino-2,3-dihydroxycyclohexyl]oxy-6-(aminomethyl)oxane-3,4,5-triol",C1CC(C(C(C1N)O)O)OC2C(C(C(C(O2)CN)O)O)O,-3.900,9972533,PUBCHEM:(9972533),2,309.166,47,0.787,787483574001034560,787482673777530726,787482673773336421,16,
1,1,0.132,0.132,-76.001,,0.994,86.355,C12H22N2O8,[M + H]+,C12H23N2O8+,YCZADQLMCSYDBH,"InChI=1S/C12H22N2O8/c1-7(16)14-9-11(18)10(17)8(6-15)22-12(9)19-4-5-21-20-3-2-13/h2-3,8-12,15,17-18H,4-6,13H2,1H3,(H,14,16)","N-[2-[2-[(E)-2-aminoethenyl]peroxyethoxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",CC(=O)NC1C(C(C(OC1OCCOOC=CN)CO)O)O,-2.400,23571924,PUBCHEM:(23571924),2,323.145,47,0.790,787483572516250754,787482673936914284,787482673932719979,42,
1,1,0.662,0.662,-78.635,,0.250,177.872,C18H35N3O10,[M + H]+,C18H36N3O10+,CLGPONMQAKGHLG,"InChI=1S/C18H35N3O10/c1-2-7-11(24)14(27)18(28-7)31-16-10(23)5(19)3-6(20)15(16)30-17-9(21)13(26)12(25)8(4-22)29-17/h5-18,22-27H,2-4,19-21H2,1H3","(3S,4R)-5-amino-6-[4,6-diamino-2-[(5R)-5-ethyl-3,4-dihydroxyoxolan-2-yl]oxy-3-hydroxycyclohexyl]oxy-2-(hydroxymethyl)oxane-3,4-diol",CCC1C(C(C(O1)OC2C(C(CC(C2OC3C(C(C(C(O3)CO)O)O)N)N)N)O)O)O,-5.000,137417351;129014633;132043856;132043957,PUBCHEM:(137417351 129014633 132043856 132043957),2,454.240,48,0.798,787483580028250100,787482674083714930,787482674079520625,45,
1,3,0.408,0.408,-112.786,,0.333,196.219,C12H26N2O8,[M - H4O2 + H]+,C12H23N2O6+,QGMNHFAYPHRDNW,"InChI=1S/C12H26N2O8/c13-4-1-5(14)9(19)12(8(4)18)22-3-7(17)11(21)10(20)6(16)2-15/h4-12,15-21H,1-3,13-14H2","6-(3,5-Diamino-2,6-dihydroxycyclohexyl)oxyhexane-1,2,3,4,5-pentol",C1C(C(C(C(C1N)O)OCC(C(C(C(CO)O)O)O)O)O)N,-5.900,68206104,PUBCHEM:(68206104),2,291.155,49,0.809,787483573204116698,787482674368927614,787482674364733309,14,
1,3,0.072,0.072,-155.505,,0.333,115.657,C12H24N2O7,[M - H4O2 + H]+,C12H21N2O5+,IGBBBLSQXFDCHI,"InChI=1S/C12H24N2O7/c13-6(11(18)19)3-1-2-4-14-8-10(17)9(16)7(5-15)21-12(8)20/h6-10,12,14-17,20H,1-5,13H2,(H,18,19)","2-amino-6-[[(2S,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]amino]hexanoic acid",C(CCNC1C(C(C(OC1O)CO)O)O)CC(C(=O)O)N,-4.900,155665651;135398101;155355915;76451283;92042787;56965393,METACYC:(CPD-21707);CHEBI:(138877);KEGG:(C20978);PUBCHEM:(155665651 135398101 155355915 76451283 92042787 56965393);PUBMED:(null),2402,273.144,49,0.822,787483587489917783,787482674901604248,787482674897409943,12,
1,1,0.059,0.071,-30.945,,0.526,13.019,C2H5O5P,[M + H]+,C2H6O5P+,UXWSODBBOLOUJH,"InChI=1S/C2H5O5P/c3-1-2-7-8(4,5)6/h1-3H,(H2,4,5,6)",Phosphoric acid 2-hydroxyethenyl ester,C(=COP(=O)(O)O)O,-1.500,102177612,PUBCHEM:(102177612),2,140.996,49,0.823,787483580359600209,787482675224565662,787482675220371357,185,
